Epoch,gpu_mem,GIoU,obj,cls,total,targets,img_size,P,R,mAP@0.5,mAP@0.5:0.95,Val GIoU,Val objectness,Val classification,model,n_images
247/299,12.1G,0.02365,0.06714,0.002497,0.09329,149,640,0.4665,0.7809,0.725,0.4967,0.03199,0.1119,0.02195,YOLO v5,250
248/299,12.1G,0.02361,0.06692,0.002639,0.09317,242,640,0.4714,0.7896,0.7251,0.5017,0.03166,0.1134,0.02075,YOLO v5,250
249/299,12.1G,0.02356,0.06801,0.002321,0.09389,220,640,0.4579,0.7841,0.7239,0.4984,0.03185,0.1138,0.02047,YOLO v5,250
250/299,12.1G,0.02371,0.06784,0.002315,0.09387,197,640,0.4527,0.7826,0.7233,0.4984,0.03195,0.1148,0.01997,YOLO v5,250
251/299,12.1G,0.02334,0.0665,0.003016,0.09285,130,640,0.442,0.7864,0.7218,0.4981,0.03197,0.1153,0.02005,YOLO v5,250
252/299,12.1G,0.02391,0.06852,0.002192,0.09462,205,640,0.4551,0.7946,0.7273,0.5022,0.0325,0.1112,0.01975,YOLO v5,250
253/299,12.1G,0.0236,0.06827,0.002007,0.09388,205,640,0.4747,0.7907,0.7311,0.5046,0.03226,0.1105,0.02031,YOLO v5,250
254/299,12.1G,0.0233,0.06752,0.002434,0.09326,211,640,0.4474,0.7871,0.7249,0.5011,0.03232,0.1129,0.02247,YOLO v5,250
255/299,12.1G,0.02343,0.06721,0.0025,0.09314,167,640,0.4383,0.7928,0.7251,0.4984,0.0321,0.114,0.02308,YOLO v5,250
256/299,12.1G,0.02306,0.06727,0.002543,0.09287,150,640,0.4376,0.7966,0.7241,0.5007,0.03192,0.115,0.02265,YOLO v5,250
257/299,12.1G,0.02313,0.06797,0.002433,0.09353,206,640,0.4589,0.7935,0.7213,0.4977,0.03208,0.115,0.02268,YOLO v5,250
258/299,12.1G,0.02302,0.06679,0.002632,0.09244,147,640,0.4681,0.769,0.7151,0.4913,0.03257,0.1179,0.02333,YOLO v5,250
259/299,12.1G,0.02315,0.06605,0.002414,0.09161,204,640,0.4646,0.7756,0.7205,0.4965,0.03269,0.1151,0.02219,YOLO v5,250
260/299,12.1G,0.02316,0.06712,0.002393,0.09268,207,640,0.4688,0.7907,0.7267,0.4952,0.03227,0.1158,0.02119,YOLO v5,250
261/299,12.1G,0.02283,0.06781,0.002425,0.09307,162,640,0.4649,0.8018,0.7377,0.5056,0.03224,0.1136,0.02038,YOLO v5,250
262/299,12.1G,0.02336,0.06602,0.00239,0.09177,200,640,0.4712,0.7869,0.7287,0.5017,0.03246,0.1161,0.02121,YOLO v5,250
263/299,12.1G,0.02291,0.06581,0.002389,0.0911,155,640,0.4786,0.7723,0.7231,0.4972,0.03288,0.1152,0.02205,YOLO v5,250
264/299,12.1G,0.02282,0.06426,0.002287,0.08937,205,640,0.4646,0.7881,0.7233,0.4934,0.03248,0.116,0.02337,YOLO v5,250
265/299,12.1G,0.02282,0.0669,0.002545,0.09226,188,640,0.4544,0.7892,0.7228,0.493,0.03246,0.1163,0.02443,YOLO v5,250
266/299,12.1G,0.02266,0.06465,0.00249,0.0898,177,640,0.4555,0.7844,0.7156,0.4878,0.0324,0.1168,0.0235,YOLO v5,250
267/299,12.1G,0.0227,0.0639,0.002667,0.08926,209,640,0.4579,0.7881,0.7149,0.493,0.03227,0.1168,0.0234,YOLO v5,250
268/299,12.1G,0.0229,0.06304,0.002332,0.08826,139,640,0.4712,0.7693,0.7241,0.4968,0.03286,0.1174,0.02279,YOLO v5,250
269/299,12.1G,0.02302,0.06577,0.002396,0.09119,138,640,0.4586,0.7848,0.7252,0.4984,0.03258,0.1158,0.02151,YOLO v5,250
270/299,12.1G,0.02269,0.06301,0.002304,0.08801,122,640,0.4571,0.7807,0.7202,0.4922,0.03251,0.1166,0.02187,YOLO v5,250
271/299,12.1G,0.02275,0.06645,0.002454,0.09165,205,640,0.4538,0.7912,0.7242,0.4907,0.03258,0.1162,0.02162,YOLO v5,250
272/299,12.1G,0.02272,0.06355,0.002277,0.08854,211,640,0.4803,0.7935,0.7287,0.4984,0.03276,0.1165,0.02092,YOLO v5,250
273/299,12.1G,0.02237,0.06359,0.002136,0.08809,142,640,0.4887,0.7899,0.7282,0.5016,0.03252,0.1169,0.02183,YOLO v5,250
274/299,12.1G,0.02271,0.06159,0.002077,0.08637,145,640,0.4622,0.8027,0.7298,0.5045,0.03221,0.115,0.02231,YOLO v5,250
275/299,12.1G,0.02245,0.06349,0.002484,0.08843,194,640,0.4586,0.8055,0.7311,0.5048,0.03234,0.1145,0.0221,YOLO v5,250
276/299,12.1G,0.02262,0.06311,0.002169,0.0879,182,640,0.4795,0.794,0.7224,0.4919,0.03247,0.1153,0.02124,YOLO v5,250
277/299,12.1G,0.02246,0.06385,0.002266,0.08857,128,640,0.4756,0.779,0.7193,0.4942,0.03267,0.1172,0.02196,YOLO v5,250
278/299,12.1G,0.02243,0.06351,0.002046,0.08798,194,640,0.4958,0.7823,0.7232,0.4968,0.03263,0.1154,0.02184,YOLO v5,250
279/299,12.1G,0.02249,0.06495,0.002175,0.08961,149,640,0.4854,0.7773,0.7201,0.4926,0.03279,0.1172,0.02283,YOLO v5,250
280/299,12.1G,0.02262,0.06534,0.002165,0.09012,204,640,0.4717,0.7948,0.7282,0.5014,0.03229,0.1142,0.02273,YOLO v5,250
281/299,12.1G,0.02214,0.06326,0.00223,0.08763,166,640,0.4749,0.7903,0.7264,0.501,0.0325,0.1158,0.02256,YOLO v5,250
282/299,12.1G,0.0224,0.06379,0.00213,0.08833,148,640,0.4687,0.7952,0.7244,0.5018,0.03239,0.1155,0.02266,YOLO v5,250
283/299,12.1G,0.02273,0.06271,0.002276,0.08772,209,640,0.4615,0.7873,0.7245,0.5018,0.03224,0.1163,0.02348,YOLO v5,250
284/299,12.1G,0.02249,0.06255,0.002154,0.08719,130,640,0.4549,0.787,0.7182,0.4961,0.03222,0.1165,0.02435,YOLO v5,250
285/299,12.1G,0.02206,0.06373,0.001839,0.08763,141,640,0.4625,0.7876,0.7174,0.4938,0.03245,0.1154,0.02554,YOLO v5,250
286/299,12.1G,0.02264,0.06541,0.002514,0.09056,182,640,0.4626,0.7838,0.7205,0.4919,0.0326,0.1172,0.02511,YOLO v5,250
287/299,12.1G,0.0224,0.06462,0.001998,0.08902,230,640,0.4637,0.7978,0.7316,0.5039,0.03234,0.116,0.02347,YOLO v5,250
288/299,12.1G,0.02254,0.06331,0.001992,0.08784,136,640,0.4659,0.7956,0.7285,0.5041,0.03226,0.1156,0.02355,YOLO v5,250
289/299,12.1G,0.02219,0.06272,0.00181,0.08672,143,640,0.4748,0.7785,0.7286,0.5009,0.03245,0.1168,0.02339,YOLO v5,250
290/299,12.1G,0.0223,0.06088,0.002196,0.08538,166,640,0.4665,0.7879,0.7309,0.5028,0.03233,0.1155,0.02281,YOLO v5,250
291/299,12.1G,0.02236,0.06233,0.001892,0.08658,170,640,0.4819,0.7894,0.7314,0.5019,0.03249,0.1154,0.02269,YOLO v5,250
292/299,12.1G,0.0222,0.06489,0.002055,0.08914,192,640,0.4775,0.7779,0.723,0.4995,0.0326,0.1168,0.02418,YOLO v5,250
293/299,12.1G,0.02218,0.06437,0.001949,0.08851,152,640,0.4727,0.7854,0.7249,0.5012,0.0322,0.1163,0.02359,YOLO v5,250
294/299,12.1G,0.02222,0.0637,0.002219,0.08814,193,640,0.4789,0.7847,0.7203,0.4976,0.03218,0.1164,0.02399,YOLO v5,250
295/299,12.1G,0.02214,0.06381,0.002097,0.08805,171,640,0.4696,0.7895,0.7148,0.4956,0.03238,0.1171,0.02481,YOLO v5,250
296/299,12.1G,0.02164,0.06319,0.002057,0.08689,181,640,0.4536,0.7902,0.7179,0.4954,0.03204,0.1168,0.02401,YOLO v5,250
297/299,12.1G,0.02188,0.06251,0.00203,0.08642,149,640,0.4671,0.7885,0.7186,0.4983,0.03214,0.1163,0.02349,YOLO v5,250
298/299,12.1G,0.02221,0.06154,0.002077,0.08583,148,640,0.4783,0.7883,0.7219,0.4958,0.03221,0.1178,0.02206,YOLO v5,250
299/299,12.1G,0.02189,0.06335,0.001925,0.08717,191,640,0.4831,0.7651,0.7215,0.4953,0.0326,0.1196,0.02315,YOLO v5,250
