Plant Type,lat,lon,geometry
Poison Ivy,49.2420606674,-119.5883804789,POINT (-119.5883804789 49.2420606674)
Poison Ivy,49.8773379468,-97.2255156934,POINT (-97.2255156934 49.8773379468)
Poison Ivy,39.51822167,-105.07778883,POINT (-105.07778883 39.51822167)
Poison Ivy,45.276316,-75.795843,POINT (-75.795843 45.276316)
Poison Ivy,50.573616,-121.303665,POINT (-121.303665 50.573616)
Poison Ivy,50.62795522,-96.50965633,POINT (-96.50965633 50.62795522)
Poison Ivy,50.6266395601,-96.51155244,POINT (-96.51155244 50.6266395601)
Poison Ivy,46.54091,-64.094845,POINT (-64.09484500000001 46.54091)
Poison Ivy,46.9164325016,-64.1973410547,POINT (-64.1973410547 46.9164325016)
Poison Ivy,44.3083161534,-78.3943689052,POINT (-78.3943689052 44.3083161534)
Poison Ivy,43.2377014783,-81.8627540537,POINT (-81.8627540537 43.2377014783)
Poison Ivy,44.8457843505,-80.0036401262,POINT (-80.0036401262 44.8457843505)
Poison Ivy,40.79096667,-111.87857833,POINT (-111.87857833 40.79096667)
Poison Ivy,47.2349234,-95.2015101,POINT (-95.20151009999999 47.2349234)
Poison Ivy,44.54161167,-89.27648833,POINT (-89.27648833000001 44.54161167)
Poison Ivy,46.4333013772,-87.5811607323,POINT (-87.58116073230001 46.4333013772)
Poison Ivy,44.2747166544,-78.2653217367,POINT (-78.2653217367 44.2747166544)
Poison Ivy,39.74506667,-105.16629167,POINT (-105.16629167 39.74506667)
Poison Ivy,46.9023676822,-94.3833681475,POINT (-94.38336814749999 46.9023676822)
Poison Ivy,39.9521626,-74.9177086,POINT (-74.9177086 39.9521626)
Poison Ivy,46.5440645311,-64.0932602862,POINT (-64.09326028620001 46.5440645311)
Poison Ivy,44.8314613406,-80.0164902504,POINT (-80.0164902504 44.8314613406)
Poison Ivy,44.841785014,-79.8730823948,POINT (-79.87308239479999 44.841785014)
Poison Ivy,47.7963316667,-79.8851516667,POINT (-79.8851516667 47.7963316667)
Poison Ivy,49.9024689855,-99.5782294124,POINT (-99.57822941240001 49.9024689855)
Poison Ivy,44.7812306974,-79.7104213877,POINT (-79.71042138769999 44.7812306974)
Poison Ivy,50.779125,-121.0780555556,POINT (-121.0780555556 50.779125)
Poison Ivy,50.7809333333,-121.0821222222,POINT (-121.0821222222 50.7809333333)
Poison Ivy,45.555502,-74.452935,POINT (-74.452935 45.555502)
Poison Ivy,44.27082833,-77.79808833,POINT (-77.79808833 44.27082833)
Poison Ivy,45.87343333,-76.85588833,POINT (-76.85588833 45.87343333)
Poison Ivy,45.361715471,-75.866157273,POINT (-75.866157273 45.361715471)
Poison Ivy,42.0131763,-71.3198518,POINT (-71.3198518 42.0131763)
Poison Ivy,46.2282652302,-79.3761530286,POINT (-79.3761530286 46.2282652302)
Poison Ivy,33.2692735278,-109.3422182277,POINT (-109.3422182277 33.2692735278)
