    56/299     11.9G   0.03494     0.101      0.01    0.1459       175       640    0.4436    0.9188    0.8508    0.5696    0.0313   0.08419  0.009884
    57/299     11.9G   0.03463    0.1009   0.01024    0.1457       171       640    0.3861    0.9291     0.853    0.5859   0.03027   0.08524   0.00933
    58/299     11.9G   0.03468    0.1017  0.009267    0.1456       149       640    0.4056    0.9374    0.8657    0.5865   0.03073   0.08421  0.006814
    59/299     11.9G   0.03484   0.09938  0.009972    0.1442       177       640    0.3761    0.9279    0.8365    0.5642   0.03097   0.08539   0.01273
    60/299     11.9G    0.0339   0.09895   0.00958    0.1424       170       640     0.413    0.9135    0.8439    0.5742   0.02986   0.08458   0.01077
    61/299     11.9G   0.03402   0.09746  0.009101    0.1406       191       640     0.371    0.9502     0.868    0.5917      0.03   0.08541  0.008042
    62/299     11.9G    0.0338   0.09866  0.008289    0.1407       191       640    0.3868    0.9479     0.874    0.6062   0.02979   0.08538  0.008066
    63/299     11.9G   0.03344   0.09793  0.007569    0.1389       168       640    0.3891    0.9316    0.8594    0.5903   0.02946   0.08486   0.01084
    64/299     11.9G   0.03374   0.09792  0.008209    0.1399       163       640    0.3459    0.9451    0.8659    0.6038   0.02985   0.08627  0.007779
    65/299     11.9G   0.03319    0.0983  0.008513      0.14       184       640    0.3608    0.9505    0.8794    0.6086   0.02989   0.08496  0.008108
    66/299     11.9G   0.03353   0.09628  0.007919    0.1377       144       640    0.4422    0.9386     0.881    0.6181   0.02928   0.08194  0.008571
    67/299     11.9G   0.03305   0.09714  0.008339    0.1385       168       640      0.39    0.9446    0.8663    0.6017   0.02957   0.08496  0.008251
    68/299     11.9G   0.03298   0.09518  0.008654    0.1368       139       640    0.3882    0.9537    0.8895    0.6332   0.02906   0.08224  0.007283
    69/299     11.9G   0.03239   0.09338   0.00783    0.1336       136       640     0.414    0.9388     0.877    0.6136   0.02929   0.08177  0.008241
    70/299     11.9G   0.03256   0.09345  0.007447    0.1335       175       640    0.3798    0.9512    0.8937    0.6253   0.02905    0.0834  0.005643
    71/299     11.9G   0.03218   0.09327  0.008317    0.1338       136       640    0.4243    0.9445    0.9038    0.6295   0.02941   0.08087  0.006252
    72/299     11.9G    0.0325   0.09539  0.007069     0.135       148       640    0.4436    0.9489    0.8977     0.632    0.0291   0.07883   0.00512
    73/299     11.9G   0.03213   0.09394  0.007512    0.1336       230       640    0.4117    0.9523    0.8945    0.6295   0.02899   0.08021  0.005237
    74/299     11.9G   0.03223   0.09216  0.006558    0.1309       151       640     0.492    0.9363    0.9034    0.6368    0.0287   0.07802  0.006209
    75/299     11.9G   0.03148   0.09154  0.006791    0.1298       192       640    0.4209     0.939    0.8887    0.6299   0.02864   0.08002  0.007144
    76/299     11.9G   0.03202   0.09413  0.006314    0.1325       162       640    0.4027     0.964    0.9075    0.6414   0.02856   0.07969  0.005696
    77/299     11.9G   0.03127   0.08957  0.006102    0.1269       131       640    0.3829     0.953     0.905     0.643   0.02833   0.08085  0.005189
    78/299     11.9G   0.03151   0.08928  0.006372    0.1272       120       640    0.3833    0.9562    0.8994     0.632   0.02853    0.0801  0.005927
    79/299     11.9G   0.03106    0.0884  0.006705    0.1262       138       640    0.4169     0.962    0.9135    0.6532   0.02768   0.07903   0.00442
    80/299     11.9G   0.03117    0.0903  0.006093    0.1276       179       640      0.42     0.959    0.9137    0.6549   0.02792   0.07762  0.004356
    81/299     11.9G   0.03136   0.09039  0.005801    0.1276       180       640    0.4655    0.9395    0.9055    0.6507   0.02764   0.07686  0.005314
    82/299     11.9G   0.03145   0.09037  0.006202     0.128       177       640    0.4184    0.9547     0.903     0.649   0.02777   0.07746  0.005939
    83/299     11.9G   0.03088   0.09036  0.006121    0.1274       177       640    0.4852     0.953    0.9106    0.6489   0.02802   0.07573  0.005566
    84/299     11.9G   0.03081   0.08957  0.005954    0.1263       178       640    0.4703    0.9505    0.9222    0.6665   0.02755   0.07478  0.005055
    85/299     11.9G   0.03099   0.08948   0.00594    0.1264       154       640    0.4201    0.9604    0.9074     0.653   0.02737   0.07804  0.005581
    86/299     11.9G   0.03061   0.08788  0.006231    0.1247       171       640    0.4219    0.9601    0.9072    0.6561   0.02758   0.07632  0.006641
    87/299     11.9G   0.03076   0.08854  0.006183    0.1255       123       640    0.4771    0.9578    0.9284     0.672   0.02736   0.07372  0.003439
