    93/299     12.1G   0.03571    0.1062   0.01164    0.1536       204       640    0.3632    0.7923    0.6854    0.4321   0.03479   0.09787   0.02747
    94/299     12.1G   0.03578    0.1054   0.01329    0.1545       195       640    0.3535    0.7929    0.6798    0.4342   0.03432   0.09788   0.02374
    95/299     12.1G   0.03565     0.105   0.01153    0.1522       228       640     0.341    0.8172    0.6638    0.4205   0.03477   0.09675   0.02729
    96/299     12.1G   0.03683    0.1051   0.01115    0.1531       181       640    0.3132    0.7937    0.6422    0.4139   0.03435   0.09838   0.03362
    97/299     12.1G   0.03537    0.1006   0.01114    0.1471       198       640    0.3331    0.8302    0.6659    0.4271   0.03355   0.09838   0.03244
    98/299     12.1G   0.03579    0.1043   0.01127    0.1514       177       640    0.3036    0.8233      0.68    0.4382   0.03406   0.09791   0.03022
    99/299     12.1G   0.03469    0.1005   0.01187     0.147       168       640    0.3254    0.7937    0.6177    0.4001   0.03385   0.09937   0.04059
   100/299     12.1G    0.0351     0.103   0.01067    0.1488       150       640    0.3294    0.8327    0.7093    0.4613   0.03375   0.09802   0.02027
   101/299     12.1G   0.03475    0.1026   0.01122    0.1485       242       640    0.3797    0.8071    0.7078    0.4585    0.0344   0.09709   0.02018
   102/299     12.1G   0.03486    0.1009   0.01052    0.1463       143       640    0.4092    0.8001    0.6954    0.4551   0.03352    0.0982     0.021
   103/299     12.1G   0.03443    0.1015   0.01125    0.1472       209       640    0.3338    0.8289    0.6862    0.4471   0.03338   0.09894   0.02697
   104/299     12.1G   0.03538    0.1037   0.01035    0.1495       190       640    0.3431    0.8235    0.6976    0.4483   0.03377   0.09674   0.02246
   105/299     12.1G   0.03502   0.09964   0.00979    0.1445       160       640    0.3385    0.8272    0.6896    0.4475   0.03377     0.097   0.02688
   106/299     12.1G   0.03445     0.101  0.009949    0.1454       185       640    0.4217    0.7972    0.7152    0.4546   0.03461   0.09864   0.01975
   107/299     12.1G   0.03401   0.09884  0.009438    0.1423       191       640    0.3348    0.8402    0.6658    0.4312   0.03306     0.101   0.02585
   108/299     12.1G   0.03422    0.1009  0.009309    0.1444       169       640    0.3989    0.8234     0.727    0.4687   0.03345   0.09552   0.02126
   109/299     12.1G   0.03409   0.09815   0.00773      0.14       172       640    0.3512    0.8399    0.7022    0.4579   0.03296   0.09662   0.02245
   110/299     12.1G   0.03397   0.09543  0.009971    0.1394       112       640    0.3849    0.8061    0.7118    0.4602    0.0338   0.09825   0.02266
   111/299     12.1G   0.03322   0.09758  0.008854    0.1397       186       640    0.3783    0.8085    0.7182    0.4705   0.03321   0.09809   0.02027
   112/299     12.1G   0.03417   0.09713  0.008633    0.1399       119       640    0.3756    0.8153    0.6885    0.4514   0.03345   0.09658   0.03009
   113/299     12.1G   0.03397   0.09984  0.008961    0.1428       195       640    0.3221    0.8303    0.7086    0.4582   0.03334    0.0986   0.02114
